id,编号,序号,名称,页面标题,精灵阶段,主属性,副属性,特性,特性描述,生命,物攻,魔攻,物防,魔防,速度,种族值总和,回顾,星光值,是否有异色,初阶名称,地区形态,进化条件,体型,重量,分布地区,更新版本,页面链接,立绘链接,立绘路径
417,286,102861,圣剑骑士,圣剑骑士,最终阶段,机械,,宝剑王牌,仅可使用1号和3号位技能。,187,154,148,183,183,65,920,,,否,圣剑侍从,,,2.44~2.92,865~1100,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%9C%A3%E5%89%91%E9%AA%91%E5%A3%AB,https://patchwiki.biligame.com/images/rocom/d/d7/0r5ms0ty1nonumnkva1hocjqhiiokkb.png,
418,287,10287,吸泥鸥,吸泥鸥,Ⅰ阶,地,翼,无差别过滤,在场时，所有精灵连击数固定为2。,99,89,33,87,71,76,455,,,否,吸泥鸥,,,0.55~0.71,9.5~12.5,常见于河岸,0.6,https://wiki.biligame.com/rocom/%E5%90%B8%E6%B3%A5%E9%B8%A5,https://patchwiki.biligame.com/images/rocom/8/8e/br2yi6aj77tv3j8bstqidsiuvadc0od.png,
419,288,10288,泥吼牙,泥吼牙,最终阶段,地,翼,无差别过滤,在场时，所有精灵连击数固定为2。,124,112,41,109,88,95,569,,,否,吸泥鸥,,,1.05~1.45,21.5~32.5,常见于河岸,0.6,https://wiki.biligame.com/rocom/%E6%B3%A5%E5%90%BC%E7%89%99,https://patchwiki.biligame.com/images/rocom/f/f0/imncv1vv01zbrx7tkjij3xtarmhl2id.png,
420,289,10289,大头骨龙,大头骨龙,Ⅰ阶,龙,幽,不朽,力竭3回合后复活。,96,109,40,84,65,48,442,,,否,大头骨龙,,,0.85~1,18.6~33.5,常见于污染区域,0.6,https://wiki.biligame.com/rocom/%E5%A4%A7%E5%A4%B4%E9%AA%A8%E9%BE%99,https://patchwiki.biligame.com/images/rocom/d/dc/oaohfrfv4b6cx8elngiwarhn9phgzch.png,
421,290,10290,寂灭骨龙,寂灭骨龙,最终阶段,龙,幽,不朽,力竭3回合后复活。,120,137,50,104,81,60,552,,,否,大头骨龙,,,2.25~2.45,85.7~105,常见于污染区域,0.6,https://wiki.biligame.com/rocom/%E5%AF%82%E7%81%AD%E9%AA%A8%E9%BE%99,https://patchwiki.biligame.com/images/rocom/3/31/g9815x8kx47nbavj9mcolhexofrpulc.png,
422,291,10291,厉毒小萝,厉毒小萝,Ⅰ阶,毒,恶,侵蚀,敌方每有1层中毒效果，自己获得连击数+1。,67,64,17,81,59,108,396,,,否,厉毒小萝,,,0.55~0.65,8.73~14.92,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%8E%89%E6%AF%92%E5%B0%8F%E8%90%9D,https://patchwiki.biligame.com/images/rocom/3/3e/6tk28w0xeycfxejxbtn8myiv9wsd17j.png,
423,292,10292,厉毒修萝,厉毒修萝,最终阶段,毒,恶,侵蚀,敌方每有1层中毒效果，自己获得连击数+1。,84,80,21,101,74,135,495,,,否,厉毒小萝,,,1.45~1.55,33.75~41.6,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%8E%89%E6%AF%92%E4%BF%AE%E8%90%9D,https://patchwiki.biligame.com/images/rocom/5/52/fnxayt7dshqnrygae3kr64v1gs4wcws.png,
424,293,10293,小帕尔,小帕尔,Ⅰ阶,恶,,付给恶魔的赎价,击败敌方精灵时，敌方额外损失1点魔力。被敌方精灵击败时，自己额外损失1点魔力。,78,76,34,79,52,60,379,,,否,小帕尔,,,0.64~0.92,9.4~13.6,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E5%B8%95%E5%B0%94,https://patchwiki.biligame.com/images/rocom/b/b3/l5aj212ensdevykbe4wgsxf1c12ayxi.png,
425,294,10294,帕尔萨斯,帕尔萨斯,Ⅱ阶,恶,,付给恶魔的赎价,击败敌方精灵时，敌方额外损失1点魔力。被敌方精灵击败时，自己额外损失1点魔力。,104,102,46,105,70,80,507,,,否,小帕尔,,成长为1星,1.33~1.58,46.5~61.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B8%95%E5%B0%94%E8%90%A8%E6%96%AF,https://patchwiki.biligame.com/images/rocom/c/cb/gteuesfklnj4acn55f3aqr0wrtlwki4.png,
426,295,10295,龙息帕尔,龙息帕尔,最终阶段,恶,,付给恶魔的赎价,击败敌方精灵时，敌方额外损失1点魔力。被敌方精灵击败时，自己额外损失1点魔力。,130,127,57,131,87,100,632,,,否,小帕尔,,成长为2星,1.93~2.4,96.5~115,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E9%BE%99%E6%81%AF%E5%B8%95%E5%B0%94,https://patchwiki.biligame.com/images/rocom/0/0f/q0bwy4syzqav082nqhy9tl7i8hsirz4.png,
427,296,10296,毛头小蛛,毛头小蛛,Ⅰ阶,虫,地,扫拖一体,回合结束时驱散敌方1层印记，且驱散后己方队伍获得1次随机奉献。,85,80,27,93,79,88,452,,,否,毛头小蛛,,,0.3~0.45,0.95~2,常见于魔法学院,0.6,https://wiki.biligame.com/rocom/%E6%AF%9B%E5%A4%B4%E5%B0%8F%E8%9B%9B,https://patchwiki.biligame.com/images/rocom/f/f5/3nr9m11fcoasdyy8qcplzh21b7rbqep.png,
428,297,10297,捕尘长绒,捕尘长绒,最终阶段,虫,地,扫拖一体,回合结束时驱散敌方1层印记，且驱散后己方队伍获得1次随机奉献。,106,100,34,116,99,110,565,,,否,毛头小蛛,,身高大于0.375,1.15~1.45,2.35~4.19,常见于魔法学院,0.6,https://wiki.biligame.com/rocom/%E6%8D%95%E5%B0%98%E9%95%BF%E7%BB%92,https://patchwiki.biligame.com/images/rocom/b/be/nkj0ie4pek8cghl4idvgqt3m2sq5ox9.png,
429,298,10298,食尘短绒,食尘短绒,最终阶段,虫,地,特殊清洁场景,回合结束时偷取敌方1层印记。,109,105,37,113,97,115,576,,,否,毛头小蛛,,身高小于0.375,0.75~0.9,2.65~5.15,常见于魔法学院,0.6,https://wiki.biligame.com/rocom/%E9%A3%9F%E5%B0%98%E7%9F%AD%E7%BB%92,https://patchwiki.biligame.com/images/rocom/5/56/2arovnrg3t48x4jr2zo0w7fp8axkkx9.png,
430,299,10299,画精灵,画精灵,Ⅰ阶,普通,,灰色肖像,攻击会使敌方已有的减益层数+3。,61,32,78,56,72,72,371,,,否,画精灵,,,0.28~0.38,0.99~2.21,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%94%BB%E7%B2%BE%E7%81%B5,https://patchwiki.biligame.com/images/rocom/a/a0/lvngsspwir7n25jd82zaz2zujxdrqs8.png,
431,300,10300,画像守护,画像守护,Ⅱ阶,普通,,灰色肖像,攻击会使敌方已有的减益层数+3。,81,42,104,75,96,96,494,,,否,画精灵,,,0.49~0.6,5.85~6.9,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%94%BB%E5%83%8F%E5%AE%88%E6%8A%A4,https://patchwiki.biligame.com/images/rocom/0/0e/4q1o3ztl1tdspj5lecjqzb5xvfqvhjn.png,
432,301,10301,画间法师手,画间法师手,最终阶段,普通,幻,灰色肖像,攻击会使敌方已有的减益层数+3。,101,53,131,94,120,120,619,,,否,画精灵,,击败三只武系精灵,2.08~2.45,46.05~58.1,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%94%BB%E9%97%B4%E6%B3%95%E5%B8%88%E6%89%8B,https://patchwiki.biligame.com/images/rocom/2/2a/m0rnppd2iwqm9h78gft0jkwzqje5v5h.png,
433,302,10302,画间沉铁兽,画间沉铁兽,最终阶段,普通,武,变形活画,攻击时，敌方每有1层增益，本次技能威力+10%。,100,160,67,100,76,105,608,,,否,画精灵,,击败三只幻系精灵,1.75~1.92,75.7~88.02,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%94%BB%E9%97%B4%E6%B2%89%E9%93%81%E5%85%BD,https://patchwiki.biligame.com/images/rocom/6/61/g4rq03yecy8xudglhc96lhi5ie4zri4.png,
434,303,10303,书魔虫,书魔虫,Ⅰ阶,普通,,图书守卫者,入场时，若自己魔力值为1，自己获得双攻+50%。,67,75,75,48,73,57,395,,,否,书魔虫,,,0.3~0.41,2.28~3.86,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E4%B9%A6%E9%AD%94%E8%99%AB,https://patchwiki.biligame.com/images/rocom/5/53/ph0kl9j7nj2m8azrrd5hpeq0b62phrl.png,
435,304,10304,书卷守护,书卷守护,Ⅱ阶,普通,,图书守卫者,入场时，若自己魔力值为1，自己获得双攻+50%。,89,100,100,64,98,76,527,,,否,书魔虫,,,0.82~1.01,9.8~14.8,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E4%B9%A6%E5%8D%B7%E5%AE%88%E6%8A%A4,https://patchwiki.biligame.com/images/rocom/8/8e/2wi1t21j1agshuww5p50uqui9mu1b55.png,
436,305,10305,古卷执政官,古卷执政官,最终阶段,普通,幻,图书守卫者,入场时，若自己魔力值为1，自己获得双攻+50%。,111,125,125,80,122,95,658,,,否,书魔虫,,击败三只武系精灵,1.91~2.21,98.8~135.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%8F%A4%E5%8D%B7%E6%89%A7%E6%94%BF%E5%AE%98,https://patchwiki.biligame.com/images/rocom/d/dc/numbiaa5oc8iursntgrv198ay097vnk.png,
437,306,10306,古卷匣魔像,古卷匣魔像,最终阶段,普通,武,构装契约者,入场时，若敌方魔力值为1，自己获得双防+50%。,114,109,109,134,89,95,650,,,否,书魔虫,,击败三只幻系精灵,1.87~2.15,119.5~180.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%8F%A4%E5%8D%B7%E5%8C%A3%E9%AD%94%E5%83%8F,https://patchwiki.biligame.com/images/rocom/1/18/6fhqn0ek9exvjnyj4rbdl14goi2l79m.png,
438,307,10307,绒绒,绒绒,Ⅰ阶,光,虫,绒粉星光,攻击时，若敌方血脉是非本系的系别血脉，技能威力+100%。,58,42,44,49,80,69,342,,,是,绒绒,,,0.29~0.35,1~2.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%BB%92%E7%BB%92,https://patchwiki.biligame.com/images/rocom/0/08/654ffcp524wy323uwi7k1z7rk4rejuc.png,
439,308,10308,小绒茧,小绒茧,Ⅱ阶,光,虫,绒粉星光,攻击时，若敌方血脉是非本系的系别血脉，技能威力+100%。,77,56,58,65,106,92,454,,,是,绒绒,,获得1200星光值,0.59~0.84,7.6~9.2,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%BB%92%E8%8C%A7,https://patchwiki.biligame.com/images/rocom/5/51/fzhzu0tmqg25ud42u7z9a95msp1bphh.png,
440,309,10309,绒仙子,绒仙子,最终阶段,光,虫,绒粉星光,攻击时，若敌方血脉是非本系的系别血脉，技能威力+100%。,96,71,73,81,133,115,569,,,是,绒绒,,,1.25~1.65,37.5~42.8,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%BB%92%E4%BB%99%E5%AD%90,https://patchwiki.biligame.com/images/rocom/2/2a/nynxiyjn07oseu31p6o5z8crn5i6dx0.png,
441,310,10310,犀角鸟,犀角鸟,Ⅰ阶,光,,月光审判,攻击时，若敌方血脉是首领血脉，技能威力+100%。,63,88,40,67,44,66,368,,,是,犀角鸟,,,0.32~0.4,9.6~11.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%8A%80%E8%A7%92%E9%B8%9F,https://patchwiki.biligame.com/images/rocom/6/6a/81qhw7nwi52la93w31dkqwhrzwgqiqw.png,
442,311,10311,光纤兽,光纤兽,Ⅱ阶,光,,月光审判,攻击时，若敌方血脉是首领血脉，技能威力+100%。,83,117,54,90,58,88,490,,,是,犀角鸟,,获得1200星光值,0.7~0.85,31.5~37.8,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%85%89%E7%BA%A4%E5%85%BD,https://patchwiki.biligame.com/images/rocom/5/54/b5avo6zna4cj4lvypoku4djknndvj61.png,
443,312,10312,疾光千兽,疾光千兽,最终阶段,光,,月光审判,攻击时，若敌方血脉是首领血脉，技能威力+100%。,104,146,67,112,73,110,612,,,是,犀角鸟,,,1.75~2.1,112.9~165,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%96%BE%E5%85%89%E5%8D%83%E5%85%BD,https://patchwiki.biligame.com/images/rocom/b/ba/18st3mhvamod8xnva8rybnme9cgkc9b.png,
444,313,10313,果冻,果冻,Ⅰ阶,水,,茶多酚,离场后，更换入场的精灵回复20%生命且免疫寄生。,81,26,81,75,78,96,437,,,否,果冻,,,0.3~0.36,4.35~5.6,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%9E%9C%E5%86%BB,https://patchwiki.biligame.com/images/rocom/9/92/5pgbduguoappstj95ppzcb6rlxzs4f1.png,
445,314,10314,抹茶布丁,抹茶布丁,最终阶段,水,草,茶多酚,离场后，更换入场的精灵回复20%生命且免疫寄生。,101,32,101,94,98,120,546,,,否,果冻,,草血脉,0.39~0.51,6.21~7.9,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%8A%B9%E8%8C%B6%E5%B8%83%E4%B8%81,https://patchwiki.biligame.com/images/rocom/f/fc/gjn312cevohkc3akvtme0l266a3txb1.png,
446,315,10315,椰浆布丁,椰浆布丁,最终阶段,水,冰,吉利丁片,离场后，更换入场的精灵获得双防+20%且免疫冻结。,133,34,89,81,105,120,562,,,否,果冻,,冰血脉,0.39~0.51,6.21~7.9,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%A4%B0%E6%B5%86%E5%B8%83%E4%B8%81,https://patchwiki.biligame.com/images/rocom/8/82/m4mfzkpmvl06onmtxu9sqwrpwar1jix.png,
447,316,10316,熔岩布丁,熔岩布丁,最终阶段,水,火,美拉德反应,离场后，更换入场的精灵获得双攻+20%且免疫灼烧。,128,87,33,112,84,120,564,,,否,果冻,,火血脉,0.39~0.51,6.21~7.9,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%86%94%E5%B2%A9%E5%B8%83%E4%B8%81,https://patchwiki.biligame.com/images/rocom/0/0c/fak6xe7fad7bxuiybj40jzr2mc5yueq.png,
448,317,10317,星尘虫,星尘虫,Ⅰ阶,虫,,契约的形状,"根据捕捉所用的咕噜球，入场时获得不同效果。
<table style=""color:#DDDDDD; font-size:14px"">
<tr><td> </td></tr>14
<tr><td>'''[[File:物品图标 普通咕噜球.png|14px|link=]]

普通球：'''攻防速+10%</td></tr>
<tr><td>'''[[File:物品图标 高级咕噜球.png|14px|link=]]

高级球：'''攻防速+20%</td></tr>
<tr><td>'''[[File:物品图标 国王球.png|14px|link=]]

国王球：'''攻防速+30%</td></tr>
<tr><td>'''[[File:物品图标 美妙球.png|14px|link=]]

美妙球：'''降低对手30%双攻，自身技能威力提升20点</td></tr>
<tr><td>'''[[File:物品图标 调温球.png|14px|link=]]

调温球：'''对手获得4层灼烧，2层冻结</td></tr>
<tr><td>'''[[File:物品图标 光合球.png|14px|link=]]

光合球：'''能耗减1，连击数+1</td></tr>
<tr><td>'''[[File:物品图标 网兜球.png|14px|link=]]

网兜球：'''入场提升50点速度，对手获得两层中毒</td></tr>
<tr><td>'''[[File:物品图标 绝缘球.png|14px|link=]]

绝缘球：'''对手速度-40，物防降低40%，连击数-2</td></tr>
<tr><td>'''[[File:物品图标 淘沙球.png|14px|link=]]

淘沙球：'''增加自身30%双防，对手获得一层星陨</td></tr>
<tr><td>'''[[File:物品图标 变幻球.png|14px|link=]]

变幻球：'''获得30%吸血，扣除对面两点能量（仅入场发动）</td></tr>
<tr><td>'''[[File:物品图标 暗星球.png|14px|link=]]

暗星球：'''降低对手40%魔防，增加自身40%物攻</td></tr>
<tr><td>'''[[File:物品图标 捕光球.png|14px|link=]]

捕光球：'''无效果</td></tr>
<tr><td>'''[[File:物品图标 棱镜球.png|14px|link=]]

棱镜球：'''随机获得上述的一球种效果（数值减半）</td></tr>
</table>",49,47,47,46,58,60,307,,,否,星辰虫,,,0.15~0.2,0.45~1.4,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%98%9F%E5%B0%98%E8%99%AB,https://patchwiki.biligame.com/images/rocom/c/c9/fgbjyux6bdbk4uikkoew7jeicbzy47t.png,
449,318,10318,落星虫,落星虫,Ⅱ阶,虫,,契约的形状,根据捕捉所用的咕噜球，入场时获得不同效果。,65,62,62,61,77,80,407,,,否,星辰虫,,,0.35~0.4,1.25~2.25,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E8%90%BD%E6%98%9F%E8%99%AB,https://patchwiki.biligame.com/images/rocom/b/bc/9sbdp37at6vf4v8hbcogrr1o9jmt62g.png,
450,319,10319,陨星虫,陨星虫,最终阶段,虫,,契约的形状,根据捕捉所用的咕噜球，入场时获得不同效果。,81,78,78,76,96,100,509,,,否,星辰虫,,,0.65~0.8,5.6~6.8,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E9%99%A8%E6%98%9F%E8%99%AB,https://patchwiki.biligame.com/images/rocom/8/8c/1ud7vz18esinw6e6am7k6pw2wpmiaw5.png,
451,320,10320,双灯鱼,双灯鱼,Ⅰ阶,水,电,对流,自己的能耗增加变为能耗降低；能耗降低变为能耗增加。,102,55,111,57,93,84,502,,,是,双灯鱼,,,0.5~0.72,14.9~17.8,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%8F%8C%E7%81%AF%E9%B1%BC,https://patchwiki.biligame.com/images/rocom/3/36/5i3mvo96bopno2o7f5h1bz7oz4hpkyq.png,
452,321,10321,利灯鱼,利灯鱼,最终阶段,水,电,对流,自己的能耗增加变为能耗降低；能耗降低变为能耗增加。,128,68,138,71,116,105,626,,,是,双灯鱼,,,0.62~0.89,26.8~31.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%88%A9%E7%81%AF%E9%B1%BC,https://patchwiki.biligame.com/images/rocom/f/f0/q3g76bthejmlv9o6phrchq0cpdlfzhy.png,
453,322,10322,月牙雪熊,月牙雪熊,最终阶段,冰,幻,月牙雪糕,使用攻击技能时，敌方每层冻结视为1层额外星陨印记。,126,97,39,141,103,80,586,,,是,月牙雪熊,,,1.25~1.45,76.5~92.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%9C%88%E7%89%99%E9%9B%AA%E7%86%8A,https://patchwiki.biligame.com/images/rocom/5/5d/ryftchx8p9yr4x4btchi33ly8htiao9.png,
454,323,10323,嗜光嗡嗡,嗜光嗡嗡,Ⅰ阶,恶,光,血型吸引,敌方每携带1种系别的技能，自己攻击时威力+10。,75,83,83,50,90,92,473,,,是,嗜光嗡嗡,,,0.24~0.32,1.46~3.05,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%97%9C%E5%85%89%E5%97%A1%E5%97%A1,https://patchwiki.biligame.com/images/rocom/6/6c/83k9t4acg7s1haeupl1wxml4pipklpa.png,
455,324,10324,窃光蚊,窃光蚊,最终阶段,恶,光,血型吸引,敌方每携带1种系别的技能，自己攻击时威力+10。,93,104,104,63,113,115,592,,,是,嗜光嗡嗡,,击败三只光系精灵,0.53~0.66,7.05~9.62,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%AA%83%E5%85%89%E8%9A%8A,https://patchwiki.biligame.com/images/rocom/e/ee/9ftuu9x2yo8twq5h8lthgnelas283kg.png,
456,325,10325,柴渣虫,柴渣虫,Ⅰ阶,火,草,煤渣草,在场时，所有灼烧的衰减变为增长。,108,96,38,82,58,80,462,,,是,柴渣虫,,使用3次[[引燃]],0.45~0.55,14.5~18.6,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%9F%B4%E6%B8%A3%E8%99%AB,https://patchwiki.biligame.com/images/rocom/a/a3/t3ec092gh9ocd64wuqjewlf56yjvxhg.png,
457,326,10326,燃薪虫,燃薪虫,最终阶段,火,草,煤渣草,在场时，所有灼烧的衰减变为增长。,135,120,48,103,73,100,579,,,是,柴渣虫,,,1.1~1.25,72.5~87.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%87%83%E8%96%AA%E8%99%AB,https://patchwiki.biligame.com/images/rocom/8/88/h3usttwjdsh4q3vn5t2st0g24nlv4go.png,
458,327,10327,空空颅,空空颅,Ⅰ阶,幽,,搜刮,敌方每使用1次【聚能】技能或更换精灵，自己入场时获得魔攻+20%。,70,7,37,54,64,48,280,,,是,空空颅,,,0.43~0.61,5.6~8.7,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%A9%BA%E7%A9%BA%E9%A2%85,https://patchwiki.biligame.com/images/rocom/4/41/kypxrmm8mobwqs3oseltznss9iqhrh2.png,
459,328,10328,夜宿颅,夜宿颅,Ⅱ阶,幽,,搜刮,敌方每使用1次【聚能】技能或更换精灵，自己入场时获得魔攻+20%。,94,9,49,72,85,64,373,,,是,空空颅,,使用3次勾魂,0.82~1.18,27.6~34.3,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%A4%9C%E5%AE%BF%E9%A2%85,https://patchwiki.biligame.com/images/rocom/a/a3/2ux5x3y3ukdzjtodlmvrt4nhmh9uycb.png,
460,329,10329,夜枭,夜枭,最终阶段,幽,,搜刮,敌方每使用1次【聚能】技能或更换精灵，自己入场时获得魔攻+20%。,117,10,61,90,106,80,464,,,是,空空颅,,使用三次【勾魂】,1.45~2.07,58.6~66.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%A4%9C%E6%9E%AD,https://patchwiki.biligame.com/images/rocom/6/63/ff8hybk5g0efhfnva9476qaovcmdl2i.png,
461,330,10330,粉粉星,粉粉星,Ⅰ阶,电,幻,星地善良,回合结束时，若场上的己方精灵能量等于0，自己立即替换此精灵。,93,54,102,57,101,88,495,,,是,粉粉星,,,0.53~0.76,2.1~3,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%B2%89%E7%B2%89%E6%98%9F,https://patchwiki.biligame.com/images/rocom/c/ca/gpnuspztb84l9jwwp1mh4up4ihxw3p2.png,
462,331,10331,小皮球,小皮球,最终阶段,电,幻,星地善良,回合结束时，若场上的己方精灵能量等于0，自己立即替换此精灵。,116,68,127,71,126,110,618,,,是,粉粉星,,,0.7~1,6.4~8.12,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%9A%AE%E7%90%83,https://patchwiki.biligame.com/images/rocom/1/11/coplggyd0xwtvzzkw5d1say369yg1oy.png,
463,332,10332,贝瑟,贝瑟,Ⅰ阶,机械,火,贪心算法,1号位技能获得传动1，且使用后使敌方获得6层灼烧。,79,46,78,51,98,33,385,,,是,贝瑟,,,0.57~0.82,24.5~34.6,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E8%B4%9D%E7%91%9F,https://patchwiki.biligame.com/images/rocom/d/d1/7c8xj95wzoxszdwytae10y9cfjdevim.png,
464,333,10333,贝加尔,贝加尔,Ⅱ阶,机械,火,贪心算法,1号位技能获得传动1，且使用后使敌方获得6层灼烧。,105,61,104,68,130,44,512,,,是,贝瑟,,,0.9~1.2,87.6~97.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E8%B4%9D%E5%8A%A0%E5%B0%94,https://patchwiki.biligame.com/images/rocom/7/7c/eg9mxls8ykwv3cjpust4s74tk4d4o1z.png,
465,334,10334,贝古斯,贝古斯,最终阶段,机械,火,贪心算法,1号位技能获得传动1，且使用后使敌方获得6层灼烧。,132,76,130,85,163,55,641,,,是,贝瑟,,,1.55~1.8,248~286,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E8%B4%9D%E5%8F%A4%E6%96%AF,https://patchwiki.biligame.com/images/rocom/0/0d/8cvnsom0kdicxcvjnut1lewivnuxgr2.png,
466,335,10335,粉星仔,粉星仔,Ⅰ阶,幻,,双向光速,在场时，所有回合结束时触发，触发次数+1。,80,63,119,58,102,92,514,,,是,粉星仔,,,0.39~0.5,9.8~12.8,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%B2%89%E6%98%9F%E4%BB%94,https://patchwiki.biligame.com/images/rocom/6/68/taalud8zowwtufk65ucpbes8xqsminq.png,
467,336,10336,粉耳星兔,粉耳星兔,最终阶段,幻,,双向光速,在场时，所有回合结束时触发，触发次数+1。,100,79,148,73,127,115,642,,,是,粉星仔,,,0.55~0.75,16.82~23.81,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%B2%89%E8%80%B3%E6%98%9F%E5%85%94,https://patchwiki.biligame.com/images/rocom/1/12/dfrmcjhoft7x9ne5xiint27n3ustjzx.png,
468,337,10337,落陨星兔,落陨星兔,最终阶段,幻,幽,陨落,在场时，双方回合结束时触发的效果，触发次数-1。,93,61,125,87,141,130,637,,,是,粉星仔,,幽系血脉,0.55~0.75,16.82~23.81,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E8%90%BD%E9%99%A8%E6%98%9F%E5%85%94,https://patchwiki.biligame.com/images/rocom/8/86/jeo10wvmxho14u7cdmib8272dqfuzpr.png,
469,338,10338,布瓜蝌,布瓜蝌,Ⅰ阶,幻,,张弛有度,周末时自己获得双攻+40%，其他时间获得双防+40%。,91,84,35,81,55,96,442,,,否,布瓜蝌,,,0.32~0.51,0.45~1.65,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B8%83%E7%93%9C%E8%9D%8C,https://patchwiki.biligame.com/images/rocom/1/1f/cf0waszkpt8lgc5625l1bv71wgbxlrm.png,
470,339,10339,上岸蛙,上岸蛙,最终阶段,幻,,张弛有度,周末时自己获得双攻+40%，其他时间获得双防+40%。,114,106,44,101,69,120,554,,,否,布瓜蝌,,,0.65~0.87,5.8~8.1,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E4%B8%8A%E5%B2%B8%E8%9B%99,https://patchwiki.biligame.com/images/rocom/c/ca/n3bvy3z45vn9j7w9cmmvceao752e7e3.png,
471,340,10340,火红尾,火红尾,Ⅰ阶,火,,天通地明,攻击时，若敌方血脉是污染血脉，技能威力+100%。,67,56,129,70,89,100,511,,,是,火红尾,,,0.72~0.98,17.5~30.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%81%AB%E7%BA%A2%E5%B0%BE,https://patchwiki.biligame.com/images/rocom/0/00/gknyb1qbbno2vnvcvyb4p9a0o9y1owp.png,
472,341,10341,雅丹鬃,雅丹鬃,最终阶段,火,,天通地明,攻击时，若敌方血脉是污染血脉，技能威力+100%。,83,70,162,88,111,125,639,,,是,火红尾,,,1.7~2.06,49.5~71.2,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E9%9B%85%E4%B8%B9%E9%AC%83,https://patchwiki.biligame.com/images/rocom/c/c2/1qy2ib6i9lr8p6c9gh8mfuo0df9a1tb.png,
473,342,10342,春团,春团,Ⅰ阶,草,,系统发育,获得能量或生命时，会将等量的能量或生命随机分配给场下的精灵。,48,51,57,65,57,63,341,,,否,春团,,,0.35~0.51,2.1~3.6,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%98%A5%E5%9B%A2,https://patchwiki.biligame.com/images/rocom/4/4e/geoo47p9iq6pyh1xko113u2z8bqcz09.png,
474,343,10343,春兔,春兔,Ⅱ阶,草,,系统发育,获得能量或生命时，会将等量的能量或生命随机分配给场下的精灵。,63,68,76,87,77,84,455,,,否,春团,,,0.61~0.87,6.8~8.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%98%A5%E5%85%94,https://patchwiki.biligame.com/images/rocom/f/fd/a2plgbfeadz467zgcjlkgx1ivr27pf4.png,
475,344,10344,春花兔,春花兔,最终阶段,草,,系统发育,获得能量或生命时，会将等量的能量或生命随机分配给场下的精灵。,79,85,95,103,90,105,557,,,否,春团,,,0.85~1.15,18.5~33.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%98%A5%E8%8A%B1%E5%85%94,https://patchwiki.biligame.com/images/rocom/5/5e/fnpiu6we7hyxqqa0bdca9kntxl6687m.png,
