id,技能名称,页面标题,描述,效果,耗能,属性,威力,技能类别,技能版本,页面链接
422,连续毒针,连续毒针,,造成物伤，2连击，每次连击使敌方获得1层中毒。,2,毒,15,物攻,0.1,https://wiki.biligame.com/rocom/%E8%BF%9E%E7%BB%AD%E6%AF%92%E9%92%88
423,连续爪击,连续爪击,,造成物伤，2连击，应对状态：本次技能连击数翻倍。,2,普通,30,物攻,0.1,https://wiki.biligame.com/rocom/%E8%BF%9E%E7%BB%AD%E7%88%AA%E5%87%BB
424,迫害,迫害,,对敌方精灵造成物理伤害。,0,恶,40,物攻,0.1,https://wiki.biligame.com/rocom/%E8%BF%AB%E5%AE%B3
425,迫近攻击,迫近攻击,埋伏，冲刺，出击。驮着小洛克的时候不要做这种事哦。,造成物伤。每次使用后，本技能威力永久+45。,3,普通,90,物攻,0.1,https://wiki.biligame.com/rocom/%E8%BF%AB%E8%BF%91%E6%94%BB%E5%87%BB
426,追打,追打,不是所有精灵都能掌握的技能，如果使用不好的话会自己绊倒自己。,造成魔伤，1连击，应对状态：本技能变为3连击。,3,普通,75,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%BF%BD%E6%89%93
427,退化,退化,“可以不用再战斗了”。,敌方获得1层萌化。,2,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%80%80%E5%8C%96
428,逆向演化,逆向演化,,解除萌化，每层萌化会给敌方赋予一层萌化。,1,萌,,状态,,https://wiki.biligame.com/rocom/%E9%80%86%E5%90%91%E6%BC%94%E5%8C%96
429,逆袭,逆袭,,造成物伤，本技能能耗每+1，威力+50。,3,普通,100,物攻,0.1,https://wiki.biligame.com/rocom/%E9%80%86%E8%A2%AD
430,透射,透射,,对敌方精灵造成物理伤害。,1,光,60,物攻,0.1,https://wiki.biligame.com/rocom/%E9%80%8F%E5%B0%84
431,速冻,速冻,,敌方获得2层减速印记。,4,冰,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%80%9F%E5%86%BB
432,遁地,遁地,,减伤50%并脱离，应对攻击。,3,地,0,防御,0.1,https://wiki.biligame.com/rocom/%E9%81%81%E5%9C%B0
433,酶浓度调整,酶浓度调整,酶溶剂有一点臭臭的，但精灵们很喜欢，会使劲地嗅。,减伤80%，应对攻击：自己回复20%生命。,3,草,0,防御,0.1,https://wiki.biligame.com/rocom/%E9%85%B6%E6%B5%93%E5%BA%A6%E8%B0%83%E6%95%B4
434,重击,重击,所谓重击，就是要让全身的力量爆发，绝对不要想着还会挥出第二拳。,造成物伤，每次使用后，本技能能耗永久+1。,2,普通,110,物攻,0.1,https://wiki.biligame.com/rocom/%E9%87%8D%E5%87%BB
435,金属噪音,金属噪音,,对敌方精灵造成魔法伤害。,3,机械,100,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%87%91%E5%B1%9E%E5%99%AA%E9%9F%B3
436,针刺射击,针刺射击,,造成物伤，若敌方本回合更换精灵，自己回复7点能量。,3,草,80,物攻,0.1,https://wiki.biligame.com/rocom/%E9%92%88%E5%88%BA%E5%B0%84%E5%87%BB
437,针状物,针状物,,造成魔伤，3连击。,3,幻,30,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%92%88%E7%8A%B6%E7%89%A9
438,钢钻,钢钻,,造成物伤，技能威力为两侧技能威力和的三分之一，传动1。,4,机械,0,物攻,0.1,https://wiki.biligame.com/rocom/%E9%92%A2%E9%92%BB
439,钢铁洪流,钢铁洪流,,造成物伤，本技能位于1号位时威力+90，传动2。,3,机械,70,物攻,0.1,https://wiki.biligame.com/rocom/%E9%92%A2%E9%93%81%E6%B4%AA%E6%B5%81
440,钧势,钧势,现在我与山岳同呼吸。,自己获得物防+140%和速度-30。,3,地,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%92%A7%E5%8A%BF
441,铁蒺藜,铁蒺藜,地系氏族众多发明中不起眼的一个。“它可以一直等，直到有人来。”,造成魔伤，应对状态：本次伤害翻倍。,3,机械,85,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%93%81%E8%92%BA%E8%97%9C
442,锐利眼神,锐利眼神,,敌方获得物防和魔防-120%。,2,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%94%90%E5%88%A9%E7%9C%BC%E7%A5%9E
443,错乱,错乱,,造成魔伤，应对状态：敌方获得3层星陨印记。,2,幻,65,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%94%99%E4%B9%B1
444,镜像反射,镜像反射,镜面无法吞噬光，光只会变得面目模糊。,减伤70%，应对攻击：本技能变为被应对的技能。,1,光,0,防御,0.1,https://wiki.biligame.com/rocom/%E9%95%9C%E5%83%8F%E5%8F%8D%E5%B0%84
445,闪光,闪光,,对敌方精灵造成魔法伤害。,1,光,60,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%97%AA%E5%85%89
446,闪光冲击,闪光冲击,,对敌方精灵造成物理伤害。,3,光,100,物攻,0.1,https://wiki.biligame.com/rocom/%E9%97%AA%E5%85%89%E5%86%B2%E5%87%BB
447,闪击,闪击,"速度差值&nbsp;&nbsp;0~14&nbsp;15~29&nbsp;30~44&nbsp;45~59&nbsp;60~74&nbsp;75~89&nbsp;90~104&nbsp;105~119&nbsp;120~134&nbsp;>135
威力&nbsp;60&nbsp;100&nbsp;130&nbsp;140&nbsp;150&nbsp;160&nbsp;170&nbsp;180&nbsp;190&nbsp;195&nbsp;200
S2赛季削弱：&nbsp;调整速度差对于威力的影响，
速度低于对手或相同时，威力仍为60，
速度高于对手136及以上时，威力提升至200，
速度高于对手271及以上时，威力提升至200",造成物伤，速度比敌方越高，本次技能威力越高。,4,翼,60,物攻,,https://wiki.biligame.com/rocom/%E9%97%AA%E5%87%BB
448,闪击折返,闪击折返,战术撤退，让敌方和己方都措手不及。,造成物伤，2连击，自己脱离。,5,电,45,物攻,0.1,https://wiki.biligame.com/rocom/%E9%97%AA%E5%87%BB%E6%8A%98%E8%BF%94
449,闪燃,闪燃,火系部族最基础的手法，让烈火在最正确的地方出现。,造成物伤，应对状态：本次技能威力变为4倍。,1,火,40,物攻,0.1,https://wiki.biligame.com/rocom/%E9%97%AA%E7%87%83
450,防反,防反,"S2赛季调整：&nbsp;减伤60一70%，应对攻击:自己获得物攻和魔攻+40一
+70%",减伤70%，应对攻击：自己获得物攻和魔攻+70%。,2,普通,0,防御,0.2,https://wiki.biligame.com/rocom/%E9%98%B2%E5%8F%8D
451,防御,防御,,减伤70%，应对攻击。,1,普通,0,防御,0.1,https://wiki.biligame.com/rocom/%E9%98%B2%E5%BE%A1
452,防御反击,防御反击,对战课的某个老师，认为精灵对战中存在一种流体力学，感受空气中魔法的流动，能预测和防御对手的招式。,减伤80%，应对攻击：自己获得全技能威力+40。,3,武,0,防御,0.1,https://wiki.biligame.com/rocom/%E9%98%B2%E5%BE%A1%E5%8F%8D%E5%87%BB
453,阳火增辉,阳火增辉,,造成魔伤，每次击败敌方，本技能威力永久翻倍。,3,火,75,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%98%B3%E7%81%AB%E5%A2%9E%E8%BE%89
454,阻断,阻断,S2赛季调整：&nbsp;威力80一75，造成魔伤，应对状态:额外打断被应对技能,造成魔伤，应对状态：额外打断被应对技能。,2,普通,75,魔攻,0.2,https://wiki.biligame.com/rocom/%E9%98%BB%E6%96%AD
455,降灵,降灵,,敌方获得1层降灵印记。,2,幽,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%99%8D%E7%81%B5
456,除厄,除厄,,造成魔伤，驱散自己的减益。,2,火,60,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%99%A4%E5%8E%84
457,陨石,陨石,,对敌方精灵造成魔法伤害。,3,地,100,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%99%A8%E7%9F%B3
458,隐藏条款,隐藏条款,,与敌方交换携带的技能。,8,恶,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%9A%90%E8%97%8F%E6%9D%A1%E6%AC%BE
459,隼鳞,隼鳞,,对敌方精灵造成物理伤害。,5,龙,140,物攻,0.1,https://wiki.biligame.com/rocom/%E9%9A%BC%E9%B3%9E
460,集中,集中,,减伤80%，应对攻击：自己回合结束返场。,2,电,0,防御,0.1,https://wiki.biligame.com/rocom/%E9%9B%86%E4%B8%AD
461,雪替身,雪替身,,减伤70%，应对攻击：回复能量，回复值等于被应对技能能耗的2倍。,2,冰,0,防御,0.1,https://wiki.biligame.com/rocom/%E9%9B%AA%E6%9B%BF%E8%BA%AB
462,雪球,雪球,,敌方获得速度-90。,1,冰,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%9B%AA%E7%90%83
463,雷暴,雷暴,,造成魔伤，迸发：本技能获得所有生效过的迸发，每获得1种，本技能能耗+1，威力+10。,1,电,55,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%9B%B7%E6%9A%B4
464,雾气环绕,雾气环绕,,回复能量，回复值等于敌方技能总能耗的一半。,1,冰,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%9B%BE%E6%B0%94%E7%8E%AF%E7%BB%95
465,震击,震击,,造成伤害，敌方获得连击数-3。,3,地,80,物攻,0.1,https://wiki.biligame.com/rocom/%E9%9C%87%E5%87%BB
466,霜冻,霜冻,,敌方获得魔防-100%。,1,冰,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%9C%9C%E5%86%BB
467,霜天,霜天,,敌方获得1层冻结，且每有1层冻结获得全技能能耗+1。,4,冰,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%9C%9C%E5%A4%A9
468,霜降,霜降,,敌方获得4层冻结。,1,冰,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%9C%9C%E9%99%8D
469,鞭打,鞭打,,对敌方精灵造成物理伤害。,0,萌,40,物攻,0.1,https://wiki.biligame.com/rocom/%E9%9E%AD%E6%89%93
470,音波弹,音波弹,,造成魔伤，1连击。,1,普通,60,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%9F%B3%E6%B3%A2%E5%BC%B9
471,音爆,音爆,没练好的歌。,对敌方精灵造成魔法伤害。,4,普通,130,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%9F%B3%E7%88%86
472,顶端优势,顶端优势,,对敌方精灵造成物理伤害。,3,草,100,物攻,0.1,https://wiki.biligame.com/rocom/%E9%A1%B6%E7%AB%AF%E4%BC%98%E5%8A%BF
473,预备势,预备势,,自己获得物攻+80%，应对防御：额外使敌方获得物防-80%。,1,武,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%A2%84%E5%A4%87%E5%8A%BF
474,风吹雪,风吹雪,,造成魔伤，自己回复1能量。,0,冰,30,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%A3%8E%E5%90%B9%E9%9B%AA
475,风墙,风墙,,减伤50%，迅捷，应对攻击。,2,翼,0,防御,0.1,https://wiki.biligame.com/rocom/%E9%A3%8E%E5%A2%99
476,风矢,风矢,,对敌方精灵造成物理伤害。,2,翼,80,物攻,0.1,https://wiki.biligame.com/rocom/%E9%A3%8E%E7%9F%A2
477,风起,风起,先手攻击时技能威力+20%,自己获得1层风起印记。,4,翼,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%A3%8E%E8%B5%B7
478,风隐,风隐,,敌方和自己均脱离，先手-1。,1,翼,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%A3%8E%E9%9A%90
479,飞叶,飞叶,,对敌方精灵造成物理伤害。,0,草,40,物攻,0.1,https://wiki.biligame.com/rocom/%E9%A3%9E%E5%8F%B6
480,飞吻,飞吻,,对敌方精灵造成魔法伤害。,2,萌,80,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%A3%9E%E5%90%BB
481,飞断,飞断,,造成物伤，己方队伍获得1次奉献：威力+20。,1,虫,20,物攻,0.1,https://wiki.biligame.com/rocom/%E9%A3%9E%E6%96%AD
482,飞羽,飞羽,,迅捷，驱散敌方1种增益。,0,翼,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%A3%9E%E7%BE%BD
483,飞踢,飞踢,魔法学院里体术的第一课。,对敌方精灵造成物理伤害。,3,普通,110,物攻,0.1,https://wiki.biligame.com/rocom/%E9%A3%9E%E8%B8%A2
484,食腐,食腐,,驱散敌方印记，每层印记回复自己10%生命。,2,虫,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%A3%9F%E8%85%90
485,骗局,骗局,,造成魔伤，能量不足时，消耗5%生命代替1能量。,4,恶,110,魔攻,,https://wiki.biligame.com/rocom/%E9%AA%97%E5%B1%80
486,高温回火,高温回火,,造成魔伤，自己脱离。,2,火,40,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%AB%98%E6%B8%A9%E5%9B%9E%E7%81%AB
487,鬼火,鬼火,,造成魔伤，自己回复1能量。,0,幽,30,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%AC%BC%E7%81%AB
488,魅惑,魅惑,,对敌方精灵造成魔法伤害。,1,萌,60,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%AD%85%E6%83%91
489,魔法增效,魔法增效,,自己获得魔攻+70%。,0,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%AD%94%E6%B3%95%E5%A2%9E%E6%95%88
490,魔爪,魔爪,,造成物伤，自己回复1能量。,0,恶,30,物攻,0.1,https://wiki.biligame.com/rocom/%E9%AD%94%E7%88%AA
491,魔能爆,魔能爆,,造成魔伤，使用时消耗所有能量，消耗越高，伤害越高。,0,普通,1,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%AD%94%E8%83%BD%E7%88%86
492,鸣叫,鸣叫,,对敌方精灵造成魔法伤害。,0,翼,40,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%B8%A3%E5%8F%AB
493,鸣沙陷阱,鸣沙陷阱,"地系部族会把敌人和秘密一同用沙土掩埋。

S2赛季削弱：&nbsp;调整速度差对于威力的影响，
速度低于对手或相同时，威力仍为60，
速度高于对手136及以上时，威力提升至200，
速度高于对手271及以上时，威力提升至200",造成物伤，物防比敌方越高，本次技能威力越高。,4,地,60,物攻,0.1,https://wiki.biligame.com/rocom/%E9%B8%A3%E6%B2%99%E9%99%B7%E9%98%B1
494,鸩毒,鸩毒,一种从黄金时代遗迹中挖掘到的炼金药剂。,造成魔伤，敌方每有1层中毒效果，本次技能威力+10，应对状态：改为本次威力+20。,3,毒,75,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%B8%A9%E6%AF%92
495,鹰爪,鹰爪,,对敌方精灵造成物理伤害。,1,翼,60,物攻,0.1,https://wiki.biligame.com/rocom/%E9%B9%B0%E7%88%AA
496,麻痹,麻痹,,敌方先手-1，应对防御：额外使敌方获得双攻-70%。,2,电,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%BA%BB%E7%97%B9
497,黑手,黑手,,造成魔伤，2连击。,3,恶,45,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%BB%91%E6%89%8B
498,鼓劲,鼓劲,,自己获得魔防+170%。,3,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%BC%93%E5%8A%B2
499,齿轮切开,齿轮切开,,造成物伤，本技能位于1号或3号位时能耗-2，传动1。,5,机械,130,物攻,0.1,https://wiki.biligame.com/rocom/%E9%BD%BF%E8%BD%AE%E5%88%87%E5%BC%80
500,齿轮扭矩,齿轮扭矩,,造成物伤，每回合位置发生变化时，本技能威力永久+20。,3,机械,80,物攻,0.1,https://wiki.biligame.com/rocom/%E9%BD%BF%E8%BD%AE%E6%89%AD%E7%9F%A9
501,龙之利爪,龙之利爪,“啊，龙也会流血。”龙舔了舔爪子——向小洛克示意这是可可果的汁液。,蓄力，造成物伤并吸血50%。,3,龙,130,物攻,0.1,https://wiki.biligame.com/rocom/%E9%BE%99%E4%B9%8B%E5%88%A9%E7%88%AA
502,龙卷风,龙卷风,,造成物伤，迅捷，应对状态：本次技能威力变为1.5倍。,5,翼,70,物攻,0.1,https://wiki.biligame.com/rocom/%E9%BE%99%E5%8D%B7%E9%A3%8E
503,龙吟,龙吟,S2赛季调整：&nbsp;蓄力，自身获得双攻+100%一150%和速度+60一+80,蓄力，自己获得双攻+150%和速度+80。,3,龙,0,状态,0.2,https://wiki.biligame.com/rocom/%E9%BE%99%E5%90%9F
504,龙吼,龙吼,当第300个村庄在晨间被摧毁后，龙终于同意在打哈欠前先看看周围。,对敌方精灵造成物理伤害。,1,龙,60,物攻,0.1,https://wiki.biligame.com/rocom/%E9%BE%99%E5%90%BC
505,龙威,龙威,,自己获得1层龙噬印记 。,3,龙,0,状态,0.1,https://wiki.biligame.com/rocom/%E9%BE%99%E5%A8%81
506,龙息环爆,龙息环爆,,造成魔伤，应对状态：下次技能无需蓄力。,1,龙,55,魔攻,0.1,https://wiki.biligame.com/rocom/%E9%BE%99%E6%81%AF%E7%8E%AF%E7%88%86
507,龙炮,龙炮,,对敌方精灵造成物理伤害。,3,龙,100,物攻,0.1,https://wiki.biligame.com/rocom/%E9%BE%99%E7%82%AE
508,龙爪,龙爪,,对敌方精灵造成物理伤害。,4,龙,120,物攻,0.1,https://wiki.biligame.com/rocom/%E9%BE%99%E7%88%AA
509,龙血,龙血,龙血可以加固鳞甲，这一直是黑巫师们求而不得的材料。,减伤70%，本技能可以在蓄力状态下使用，应对攻击：下次技能无需蓄力。,2,龙,0,防御,0.1,https://wiki.biligame.com/rocom/%E9%BE%99%E8%A1%80
